codDP,nmDP,enderecoDP
110,110ª DP - Teresópolis,"Rua Alfredo Rebelo Filho, 883 - Alto, Teresópolis - RJ, 25960-011"
111,111ª DP - Sumidouro,"Rua Carlos Alberto de Moura Júnior, 74 - Centro, Sumidouro - RJ, 28637-000"
112,112ª DP - Carmo,"Praça Alexandre de Mello, 109 - Bela Vista, Carmo - RJ, 28640-000"
118,118ª DP - Araruama,"Rua Bernardo Vasconcelos, 755 - Centro, Araruama - RJ, 28970-000"
119,119ª DP - Rio Bonito,"Rua Rodrigues Coelho, s/n - Green Valley, Rio Bonito - RJ, 28800-000"
120,120ª DP - Silva Jardim,"Rua Geraldo Gerônimo da Silva, 634-726 - Reginópolis, Silva Jardim - RJ, 28820-000"
121,121ª DP - Casimiro de Abreu,"Rua Geni da Cruz Leite, s/n - Centro, Casimiro de Abreu - RJ, 28860-000"
122,122ª DP - Conceição de Macabu,"Rua Plácido Freire, 72 - Vila Nova, Conceição de Macabu - RJ, 28740-000"
123,123ª DP - Macaé,"Rua São João, 35 - Centro, Macaé - RJ, 27913-070"
124,124ª DP - Saquarema,"Rua Doutor Luiz Januário, 201 - Campo Aviacao, Saquarema - RJ, 28990-000"
125,125ª DP - São Pedro da Aldeia,"Rua Nossa Senhora de Fátima, 762 - Balneario São Pedro, São Pedro da Aldeia - RJ, 28940-000"
126,126ª DP - Cabo Frio,"Rua Teixeira e Souza, s/n - Centro, Cabo Frio - RJ, 28907-410"
127,127ª DP - Armação de Búzios,"Avenida Parque, s/n - Village de Búzios, Búzios - RJ, 28950-000"
128,128ª DP - Rio das Ostras,"Avenida Jane Maria Martins Figueira, s/n - Jardim Mariléa, Rio das Ostras - RJ, 28890-000"
129,129ª DP - Iguaba Grande,"Rua Profeta Jeremias, s/n - Estação, Iguaba Grande - RJ, 28960-000"
130,130ª DP - Quissamã,"Estrada do Correio Imperial, 1073 - Piteiras, Quissamã - RJ, 28735-000"
132,132ª DP - Arraial do Cabo,"Rodovia General Bruno Martins, s/n - Centro, Arraial do Cabo - RJ, 28930-000"
134,134ª DP - Campos,"Rua Barão de Miracema, 231 - Centro, Campos dos Goitacazes - RJ, 28035-301"
135,135ª DP - Itaocara,"Avenida Roberto Silveira, 84 - Centro, Itaocara - RJ, 28570-000"
136,136ª DP - Santo Antônio de Pádua,"Rua Arthur Silva, 151 - Centro, Santo Antônio de Pádua - RJ, 28470-000"
137,137ª DP - Miracema,"Rua Irineu Sodré, 178 - Centro, Miracema, RJ, 28460-000"
138,138ª DP - Laje do Muriaé,"Rua Hélio Modesto de Sá, s/n - Centro, Laje Do Muriaé - RJ, 28350-000"
139,139ª DP - Porciúncula,"Rua Antônio Duarte, s/n - Centro, Porciúncula - RJ, 28390-000"
140,140ª DP - Natividade,"Avenida Governador Roberto Silveira, s/n - Nossa Senhora das Graças, Natividade - RJ, 28380-000"
141,141ª DP - São Fidelis,"Avenida Presidente Kennedy, 17 - Centro, São Fidélis - RJ, 28400-000"
142,142ª DP - Cambuci,"Avenida José de Souza Faria, 303 - Centro, Cambuci - RJ, 28430-000"
143,143ª DP - Itaperuna,"Avenida Cardoso Moreira, 667 - Centro, Itaperuna - RJ, 28300-000"
144,144ª DP - Bom Jesus do Itabapoana,"Avenida Governador Roberto Silveira, 148 - Centro, Bom Jesus do Itabapoana - RJ, 28360-970"
145,145ª DP - São João da Barra,"Rodovia BR 356, Km 182,5 - São João da Barra - RJ, 28200-000"
146,146ª DP - Guarus,"Rua Patrício Menezes, s/n - Custodópolis, Campos dos Goitacazes - RJ, 28085-070"
147,147ª DP - São Francisco de Itabapoana,"Rodovia RJ-224 - São Francisco de Itabapoana, RJ, 28230-000"
148,148ª DP - Italva,"Rua Aristides Gonçalves de Souza, s/n - Boa Vista, Italva - RJ, 28250-000"
151,151ª DP - Nova Friburgo,"Avenida Presidente Costa e Silva, 1051 - Centro, Nova Friburgo - RJ, 28630-010"
152,152ª DP - Duas Barras,"Rua Getúlio Vargas, 22 - Centro, Duas Barras - RJ, 28650-000"
153,153ª DP - Cantagalo,"Rua Getúlio Vargas, 114 - Centro, Cantagalo - RJ, 28500-000"
154,154ª DP - Cordeiro,"Rua Ibrahim Roda, 2 - Parada Santo Expedito, Cordeiro - RJ, 28540-000"
155,155ª DP - São Sebastião do Alto,"Rua Coronel Francisco Salustiano Pinto, 210 - Centro, São Sebastião do Alto - RJ, 28550-000"
156,156ª DP - Santa Maria Madalena,"Rua Coronel Brás, 15 - Centro, Santa Maria Madalena - RJ, 28770-000"
157,157ª DP - Trajano de Moraes,"Alameda Rui Barbosa, s/n - Centro, Trajano de Morais - RJ, 28750-000"
158,158ª DP - Bom Jardim,"Praça Governador Roberto Silveira, 170 - Centro, Bom Jardim - RJ, 28660-000"
159,159ª DP - Cachoeira de Macacu,"Avenida Lord Baden Powel, 93 - Centro, Cachoeiras de Macacu - RJ, 28680-000"
165,165ª DP - Mangaratiba,"Estrada São João Marcos, s/n - Praia do Saco, Mangaratiba - RJ, 23860-000"
166,166ª DP - Angra dos Reis,"Rua Doutor Coutinho, 6 - Centro, Angra dos Reis - RJ, 23900-620"
167,167ª DP - Paraty,"Rua Roberto da Silveira , s/n - Vila Colonial, Paraty - RJ, 23970-000"
168,168ª DP - Rio Claro,"Praça Fagundes Vahera, 62, Rio Claro, Rio de Janeiro, Centro, Rio Claro - RJ, 27460-000"
